implementation,matrix,t_spmv
cpu,1138_bus,0.000010
cpu,bcsstk15,0.000217
cpu,bcsstk31,0.002505
cpu,pwtk,0.000000
cpu,cage15,0.000000
cpu,heart1,0.000000
cpu,relat8,0.000000
cpu,connectus,0.000000
cpu-openmp,1138_bus,0.000011
cpu-openmp,bcsstk15,  0.000193
cpu-openmp,bcsstk31,0.002334
cpu-openmp,pwtk,0.000000
cpu-openmp,cage15,0.000000
cpu-openmp,heart1,0.000000
cpu-openmp,relat8,0.000000
cpu-openmp,connectus,0.000000
gpu,1138_bus,0.000019
gpu,bcsstk15,0.000090
gpu,bcsstk31,0.000177
gpu,pwtk,0.000000
gpu,cage15,0.000000
gpu,heart1,0.000000
gpu,relat8,0.000000
gpu,connectus,0.000000
gpu_sort,1138_bus,0.000021
gpu_sort,bcsstk15,0.000092
gpu_sort,bcsstk31,0.000213
gpu_sort,pwtk,0.002188
gpu_sort,cage15,0.018151
gpu_sort,heart1,0.001501
gpu_sort,relat8,0.000082
gpu_sort,connectus,0.043647
gpu_nz,1138_bus,0.000030
gpu_nz,bcsstk15,0.000253
gpu_nz,bcsstk31,0.001956
gpu_nz,pwtk,0.018941
gpu_nz,cage15,0.149580
gpu_nz,heart1,0.002757
gpu_nz,relat8,0.002143
gpu_nz,connectus,0.002405
gpu_warp,1138_bus,0.000107
gpu_warp,bcsstk15,0.000494
gpu_warp,bcsstk31,0.004570
gpu_warp,pwtk,0.025230
gpu_warp,cage15,0.513310
gpu_warp,heart1,0.001788
gpu_warp,relat8,0.026740
gpu_warp,connectus,0.001481
